Period,quote_kw_2012,quote_total_2012,%_2012,quote_kw_2016,quote_total_2016,%_2016,quote_kw_2020,quote_total_2020,%_2020
Apr,205.0,11602.0,1.7669367350456817,122.0,5642.0,2.1623537752570012,72.0,3635.0,1.9807427785419534
Aug,318.0,11700.0,2.717948717948718,393.0,12471.0,3.15131104161655,,,
Feb,254.0,14212.0,1.7872220658598368,124.0,5449.0,2.275646907689484,245.0,7082.0,3.4594747246540525
Jan,379.0,16398.0,2.3112574704232225,2.0,179.0,1.1173184357541899,510.0,8049.0,6.33619083115915
Jul,232.0,12403.0,1.8705151979359833,376.0,13744.0,2.7357392316647267,,,
Jun,215.0,12300.0,1.7479674796747966,10.0,333.0,3.003003003003003,,,
Mar,402.0,14572.0,2.758715344496294,9.0,13.0,69.23076923076923,231.0,7276.0,3.1748213304013193
Max,3042.0,132881.0,3.451938396176314,1719.0,64735.0,100.0,1058.0,26042.0,6.33619083115915
May,242.0,13257.0,1.8254507052877726,258.0,13054.0,1.976405699402482,,,
Mean,507.0,22146.833333333332,2.3711638478099704,286.5,10789.166666666666,18.218588597739814,423.2,10416.8,3.80277953252122
Median,318.0,12816.0,2.3112574704232225,124.0,5642.0,3.003003003003003,334.1,7662.5,3.6311271285876363
Nov,65.0,1883.0,3.451938396176314,1.0,1.0,100.0,,,
Oct,408.0,12816.0,3.1835205992509366,3.0,11.0,27.27272727272727,,,
Sep,322.0,11738.0,2.7432271255750553,421.0,13838.0,3.0423471599942187,,,
Total,3042.0,132881.0,2.2892663360450327,1719.0,64735.0,2.655441414999614,1058.0,26042.0,4.062667997849627
std,741.5286446046645,32336.669569517173,0.5472600663760396,444.1568580585462,16609.393273839385,30.16164651727316,318.6815270992119,7339.778708452157,1.31294692560337
